12:35:33.403205 config: drop-rate=0.30, max-delay=1s, seed=1
12:36:50.020264 [queue=0] packet #2, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delivered
12:36:52.489798 [queue=0] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is dropped
12:36:53.040292 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is delayed for 220ms
12:36:53.040314 [queue=1] packet #3, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is dropped
12:36:53.261446 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is delivered
12:36:53.261713 [queue=0] packet #1, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is dropped
12:36:55.495933 [queue=1] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is delayed for 430ms
12:36:55.927106 [queue=0] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is delivered
12:36:58.497862 [queue=0] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is dropped
12:36:58.946518 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is delayed for 100ms
12:36:58.946677 [queue=2] packet #3, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is delayed for 400ms
12:36:59.047766 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is delivered
12:36:59.047996 [queue=2] packet #1, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delayed for 620ms
12:36:59.347809 [queue=1] packet #3, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is delivered
12:36:59.348084 [queue=2] packet #3, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delayed for 150ms
12:36:59.498340 [queue=1] packet #3, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delivered
12:36:59.669122 [queue=0] packet #1, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delivered
12:36:59.675666 [queue=1] packet #4, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is delayed for 390ms
12:36:59.675689 [queue=1] packet #5, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is dropped
12:36:59.675835 [queue=1] packet #6, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is dropped
12:37:00.066775 [queue=0] packet #4, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is delivered
12:37:00.067119 [queue=0] packet #4, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is dropped
12:37:01.499443 [queue=1] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is delayed for 200ms
12:37:01.700645 [queue=0] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is delivered
12:37:04.501003 [queue=1] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is delayed for 700ms
12:37:04.721002 [queue=1] packet #4, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is dropped
12:37:04.721076 [queue=1] packet #5, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is dropped
12:37:04.721103 [queue=2] packet #6, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is delayed for 650ms
12:37:05.202132 [queue=1] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is delivered
12:37:05.372228 [queue=0] packet #6, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is delivered
12:37:05.372436 [queue=1] packet #6, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delayed for 290ms
12:37:05.663626 [queue=0] packet #6, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delivered
12:37:07.502694 [queue=1] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is delayed for 480ms
12:37:07.983140 [queue=0] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is delivered
12:37:10.504290 [queue=1] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is delayed for 950ms
12:37:11.003462 [queue=2] packet #4, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is delayed for 0s
12:37:11.003498 [queue=2] packet #5, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is dropped
12:37:11.003561 [queue=1] packet #4, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is delivered
12:37:11.003851 [queue=2] packet #4, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delayed for 920ms
12:37:11.455439 [queue=1] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is delivered
12:37:11.925021 [queue=0] packet #4, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delivered
12:37:11.931505 [queue=0] packet #7, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is dropped
10:37:43.801727 config: drop-rate=0.30, max-delay=1s, seed=8080
10:37:43.802884 router is listening at :3000
10:38:00.244278 [queue=0] packet #0, 127.0.0.1:63170 -> 127.0.0.1:8007, sz=0 is dropped
10:38:03.250592 [queue=1] packet #0, 127.0.0.1:63170 -> 127.0.0.1:8007, sz=0 is delayed for 200ms
10:38:03.453019 [queue=0] packet #0, 127.0.0.1:63170 -> 127.0.0.1:8007, sz=0 is delivered
10:38:03.454264 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:63170, sz=0 is dropped
10:38:06.255986 [queue=1] packet #0, 127.0.0.1:63170 -> 127.0.0.1:8007, sz=0 is delayed for 160ms
10:38:06.417513 [queue=0] packet #0, 127.0.0.1:63170 -> 127.0.0.1:8007, sz=0 is delivered
10:38:06.418558 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:63170, sz=0 is delayed for 940ms
10:38:07.359842 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:63170, sz=0 is delivered
10:38:07.363807 [queue=0] packet #0, 127.0.0.1:63170 -> 127.0.0.1:8007, sz=0 is dropped
10:38:07.364372 [queue=1] packet #1, 127.0.0.1:63170 -> 127.0.0.1:8007, sz=20 is delayed for 510ms
10:38:07.364507 [queue=1] packet #2, 127.0.0.1:63170 -> 127.0.0.1:8007, sz=20 is dropped
10:38:07.364604 [queue=1] packet #3, 127.0.0.1:63170 -> 127.0.0.1:8007, sz=20 is dropped
10:38:07.875585 [queue=0] packet #1, 127.0.0.1:63170 -> 127.0.0.1:8007, sz=20 is delivered
10:38:10.371712 [queue=1] packet #1, 127.0.0.1:63170 -> 127.0.0.1:8007, sz=20 is delayed for 390ms
10:38:10.371808 [queue=2] packet #2, 127.0.0.1:63170 -> 127.0.0.1:8007, sz=20 is delayed for 790ms
10:38:10.371880 [queue=3] packet #3, 127.0.0.1:63170 -> 127.0.0.1:8007, sz=20 is delayed for 450ms
10:38:10.762891 [queue=2] packet #1, 127.0.0.1:63170 -> 127.0.0.1:8007, sz=20 is delivered
10:38:10.763244 [queue=3] packet #1, 127.0.0.1:8007 -> 127.0.0.1:63170, sz=0 is delayed for 880ms
10:38:10.822755 [queue=2] packet #3, 127.0.0.1:63170 -> 127.0.0.1:8007, sz=20 is delivered
10:38:10.823066 [queue=2] packet #3, 127.0.0.1:8007 -> 127.0.0.1:63170, sz=0 is dropped
10:38:11.163085 [queue=1] packet #2, 127.0.0.1:63170 -> 127.0.0.1:8007, sz=20 is delivered
10:38:11.163399 [queue=2] packet #2, 127.0.0.1:8007 -> 127.0.0.1:63170, sz=0 is delayed for 990ms
10:38:11.644476 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:63170, sz=0 is delivered
10:38:11.657282 [queue=2] packet #4, 127.0.0.1:63170 -> 127.0.0.1:8007, sz=9 is delayed for 410ms
10:38:12.068005 [queue=1] packet #4, 127.0.0.1:63170 -> 127.0.0.1:8007, sz=9 is delivered
10:38:12.068522 [queue=2] packet #4, 127.0.0.1:8007 -> 127.0.0.1:63170, sz=0 is delayed for 870ms
10:38:12.154471 [queue=1] packet #2, 127.0.0.1:8007 -> 127.0.0.1:63170, sz=0 is delivered
10:38:12.939642 [queue=0] packet #4, 127.0.0.1:8007 -> 127.0.0.1:63170, sz=0 is delivered
10:38:15.957818 [queue=1] packet #3, 127.0.0.1:63170 -> 127.0.0.1:8007, sz=20 is delayed for 240ms
10:38:16.198986 [queue=0] packet #3, 127.0.0.1:63170 -> 127.0.0.1:8007, sz=20 is delivered
10:38:16.199246 [queue=1] packet #3, 127.0.0.1:8007 -> 127.0.0.1:63170, sz=0 is delayed for 740ms
10:38:16.940392 [queue=0] packet #3, 127.0.0.1:8007 -> 127.0.0.1:63170, sz=0 is delivered
10:38:16.953176 [queue=1] packet #0, 127.0.0.1:63170 -> 127.0.0.1:8007, sz=0 is delayed for 690ms
